RowNumber,CustomerId,CustomerId_ref_number,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,CUS15634602,15634602,Hargrave,619,France,Female,42,2,0,1,1,1,101348.88,1
2,CUS15647311,15647311,Hill,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0
3,CUS15619304,15619304,Onio,502,France,Female,42,8,159660.8,3,1,0,113931.57,1
4,CUS15701354,15701354,Boni,699,France,Female,39,1,0,2,0,0,93826.63,0
5,CUS15737888,15737888,Mitchell,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0
6,CUS15574012,15574012,Chu,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1
7,CUS15592531,15592531,Bartlett,822,France,Male,50,7,0,2,1,1,10062.8,0
8,CUS15656148,15656148,Obinna,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1
9,CUS15792365,15792365,He,501,France,Male,44,4,142051.07,2,0,1,74940.5,0
10,CUS15592389,15592389,H?,684,France,Male,27,2,134603.88,1,1,1,71725.73,0
11,CUS15767821,15767821,Bearce,528,France,Male,31,6,102016.72,2,0,0,80181.12,0
12,CUS15737173,15737173,Andrews,497,Spain,Male,24,3,0,2,1,0,76390.01,0
13,CUS15632264,15632264,Kay,476,France,Female,34,10,0,2,1,0,26260.98,0
14,CUS15691483,15691483,Chin,549,France,Female,25,5,0,2,0,0,190857.79,0
15,CUS15600882,15600882,Scott,635,Spain,Female,35,7,0,2,1,1,65951.65,0
16,CUS15643966,15643966,Goforth,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0
17,CUS15737452,15737452,Romeo,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1
18,CUS15788218,15788218,Henderson,549,Spain,Female,24,9,0,2,1,1,14406.41,0
19,CUS15661507,15661507,Muldrow,587,Spain,Male,45,6,0,1,0,0,158684.81,0
20,CUS15568982,15568982,Hao,726,France,Female,24,6,0,2,1,1,54724.03,0
21,CUS15577657,15577657,McDonald,732,France,Male,41,8,0,2,1,1,170886.17,0
22,CUS15597945,15597945,Dellucci,636,Spain,Female,32,8,0,2,1,0,138555.46,0
23,CUS15699309,15699309,Gerasimov,510,Spain,Female,38,4,0,1,1,0,118913.53,1
24,CUS15725737,15725737,Mosman,669,France,Male,46,3,0,2,0,1,8487.75,0
25,CUS15625047,15625047,Yen,846,France,Female,38,5,0,1,1,1,187616.16,0
26,CUS15738191,15738191,Maclean,577,France,Male,25,3,0,2,0,1,124508.29,0
27,CUS15736816,15736816,Young,756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0
28,CUS15700772,15700772,Nebechi,571,France,Male,44,9,0,2,0,0,38433.35,0
29,CUS15728693,15728693,McWilliams,574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0
30,CUS15656300,15656300,Lucciano,411,France,Male,29,0,59697.17,2,1,1,53483.21,0
31,CUS15589475,15589475,Azikiwe,591,Spain,Female,39,3,0,3,1,0,140469.38,1
32,CUS15706552,15706552,Odinakachukwu,533,France,Male,36,7,85311.7,1,0,1,156731.91,0
33,CUS15750181,15750181,Sanderson,553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0
34,CUS15659428,15659428,Maggard,520,Spain,Female,42,6,0,2,1,1,34410.55,0
35,CUS15732963,15732963,Clements,722,Spain,Female,29,9,0,2,1,1,142033.07,0
36,CUS15794171,15794171,Lombardo,475,France,Female,45,0,134264.04,1,1,0,27822.99,1
37,CUS15788448,15788448,Watson,490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0
38,CUS15729599,15729599,Lorenzo,804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0
39,CUS15717426,15717426,Armstrong,850,France,Male,36,7,0,1,1,1,40812.9,0
40,CUS15585768,15585768,Cameron,582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0
41,CUS15619360,15619360,Hsiao,472,Spain,Male,40,4,0,1,1,0,70154.22,0
42,CUS15738148,15738148,Clarke,465,France,Female,51,8,122522.32,1,0,0,181297.65,1
43,CUS15687946,15687946,Osborne,556,France,Female,61,2,117419.35,1,1,1,94153.83,0
44,CUS15755196,15755196,Lavine,834,France,Female,49,2,131394.56,1,0,0,194365.76,1
45,CUS15684171,15684171,Bianchi,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0
46,CUS15754849,15754849,Tyler,776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0
47,CUS15602280,15602280,Martin,829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1
48,CUS15771573,15771573,Okagbue,637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1
49,CUS15766205,15766205,Yin,550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0
50,CUS15771873,15771873,Buccho,776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0
51,CUS15616550,15616550,Chidiebele,698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0
52,CUS15768193,15768193,Trevisani,585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0
53,CUS15683553,15683553,O'Brien,788,France,Female,33,5,0,2,0,0,116978.19,0
54,CUS15702298,15702298,Parkhill,655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1
55,CUS15569590,15569590,Yoo,601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1
56,CUS15760861,15760861,Phillipps,619,France,Male,43,1,125211.92,1,1,1,113410.49,0
57,CUS15630053,15630053,Tsao,656,France,Male,45,5,127864.4,1,1,0,87107.57,0
58,CUS15647091,15647091,Endrizzi,725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0
59,CUS15623944,15623944,T'ien,511,Spain,Female,66,4,0,1,1,0,1643.11,1
60,CUS15804771,15804771,Velazquez,614,France,Male,51,4,40685.92,1,1,1,46775.28,0
61,CUS15651280,15651280,Hunter,742,Germany,Male,35,5,136857,1,0,0,84509.57,0
62,CUS15773469,15773469,Clark,687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0
63,CUS15702014,15702014,Jeffrey,555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0
64,CUS15751208,15751208,Pirozzi,684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0
65,CUS15592461,15592461,Jackson,603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0
66,CUS15789484,15789484,Hammond,751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0
67,CUS15696061,15696061,Brownless,581,Germany,Female,34,1,101633.04,1,1,0,110431.51,0
68,CUS15641582,15641582,Chibugo,735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0
69,CUS15638424,15638424,Glauert,661,Germany,Female,35,5,150725.53,2,0,1,113656.85,0
70,CUS15755648,15755648,Pisano,675,France,Female,21,8,98373.26,1,1,0,18203,0
71,CUS15703793,15703793,Konovalova,738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1
72,CUS15620344,15620344,McKee,813,France,Male,29,6,0,1,1,0,33953.87,0
73,CUS15812518,15812518,Palermo,657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0
74,CUS15779052,15779052,Ballard,604,Germany,Female,25,5,157780.84,2,1,1,58426.81,0
75,CUS15770811,15770811,Wallace,519,France,Male,36,9,0,2,0,1,145562.4,0
76,CUS15780961,15780961,Cavenagh,735,France,Female,21,1,178718.19,2,1,0,22388,0
77,CUS15614049,15614049,Hu,664,France,Male,55,8,0,2,1,1,139161.64,0
78,CUS15662085,15662085,Read,678,France,Female,32,9,0,1,1,1,148210.64,0
79,CUS15575185,15575185,Bushell,757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0
80,CUS15803136,15803136,Postle,416,Germany,Female,41,10,122189.66,2,1,0,98301.61,0
81,CUS15706021,15706021,Buley,665,France,Female,34,1,96645.54,2,0,0,171413.66,0
82,CUS15663706,15663706,Leonard,777,France,Female,32,2,0,1,1,0,136458.19,1
83,CUS15641732,15641732,Mills,543,France,Female,36,3,0,2,0,0,26019.59,0
84,CUS15701164,15701164,Onyeorulu,506,France,Female,34,4,90307.62,1,1,1,159235.29,0
85,CUS15738751,15738751,Beit,493,France,Female,46,4,0,2,1,0,1907.66,0
86,CUS15805254,15805254,Ndukaku,652,Spain,Female,75,10,0,2,1,1,114675.75,0
87,CUS15762418,15762418,Gant,750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1
88,CUS15625759,15625759,Rowley,729,France,Male,30,9,0,2,1,0,151869.35,0
89,CUS15622897,15622897,Sharpe,646,France,Female,46,4,0,3,1,0,93251.42,1
90,CUS15767954,15767954,Osborne,635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0
91,CUS15757535,15757535,Heap,647,Spain,Female,44,5,0,3,1,1,174205.22,1
92,CUS15731511,15731511,Ritchie,808,France,Male,45,7,118626.55,2,1,0,147132.46,0
93,CUS15809248,15809248,Cole,524,France,Female,36,10,0,2,1,0,109614.57,0
94,CUS15640635,15640635,Capon,769,France,Male,29,8,0,2,1,1,172290.61,0
95,CUS15676966,15676966,Capon,730,Spain,Male,42,4,0,2,0,1,85982.47,0
96,CUS15699461,15699461,Fiorentini,515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0
97,CUS15738721,15738721,Graham,773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0
98,CUS15693683,15693683,Yuille,814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0
99,CUS15604348,15604348,Allard,710,Spain,Male,22,8,0,2,0,0,99645.04,0
100,CUS15633059,15633059,Fanucci,413,France,Male,34,9,0,2,0,0,6534.18,0
101,CUS15808582,15808582,Fu,665,France,Female,40,6,0,1,1,1,161848.03,0
102,CUS15743192,15743192,Hung,623,France,Female,44,6,0,2,0,0,167162.43,0
103,CUS15580146,15580146,Hung,738,France,Male,31,9,82674.15,1,1,0,41970.72,0
104,CUS15776605,15776605,Bradley,528,Spain,Male,36,7,0,2,1,0,60536.56,0
105,CUS15804919,15804919,Dunbabin,670,Spain,Female,65,1,0,1,1,1,177655.68,1
106,CUS15613854,15613854,Mauldon,622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1
107,CUS15599195,15599195,Stiger,582,Germany,Male,32,1,88938.62,1,1,1,10054.53,0
108,CUS15812878,15812878,Parsons,785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0
109,CUS15602312,15602312,Walkom,605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0
110,CUS15744689,15744689,T'ang,479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1
111,CUS15803526,15803526,Eremenko,685,Germany,Male,30,3,90536.81,1,0,1,63082.88,0
112,CUS15665790,15665790,Rowntree,538,Germany,Male,39,7,108055.1,2,1,0,27231.26,0
